Timestamp (s),Track_ID,Vehicle_Class,Lane
0.72,1,Car,Lane 2
1.8,37,LCV,Lane 1
5.74,123,LCV,Lane 1
8.22,103,Car,Lane 1
10.18,166,Car,Lane 2
10.68,210,Car,Lane 1
16.62,378,Car,Lane 1
17.38,418,Car,Lane 2
18.22,526,Two-Wheeler,Lane 2
18.58,356,LCV,Lane 1
18.6,530,Two-Wheeler,Lane 2
19.76,491,Two-Wheeler,Lane 2
30.78,596,Car,Lane 1
33.1,607,Car,Lane 2
37.92,620,Truck/Bus,Lane 2
39.22,809,Car,Lane 2
40.12,842,Car,Lane 1
42.38,878,Car,Lane 1
43.36,983,Car,Lane 1
44.3,923,Car,Lane 2
44.72,971,LCV,Lane 1
44.88,1099,LCV,Lane 2
49.74,1137,Car,Lane 2
51.32,1186,Car,Lane 1
55.4,1210,LCV,Lane 1
60.82,1267,Car,Lane 2
62.2,1377,Car,Lane 1
64.1,1316,Car,Lane 2
65.14,1439,Two-Wheeler,Lane 2
65.76,1436,Car,Lane 1
80.12,1627,Two-Wheeler,Lane 2
86.52,1765,Car,Lane 2
88.52,1805,Car,Lane 2
89.14,1822,Truck/Bus,Lane 1
95.12,1826,Car,Lane 2
98.36,2014,Two-Wheeler,Lane 2
98.62,2022,Two-Wheeler,Lane 2
98.72,2023,Two-Wheeler,Lane 2
99.3,1987,LCV,Lane 1
100.78,1947,Car,Lane 1
105.02,2122,Car,Lane 1
105.14,2223,Two-Wheeler,Lane 2
111.76,2328,LCV,Lane 1
114.58,2419,Two-Wheeler,Lane 2
119.88,2504,Car,Lane 1
124.34,2672,LCV,Lane 1
125.6,2628,Car,Lane 1
126.12,2843,Two-Wheeler,Lane 2
132.84,2988,Truck/Bus,Lane 1
134.88,3261,Car,Lane 2
135.96,3274,Car,Lane 1
136.74,3321,Car,Lane 1
139.54,3423,Car,Lane 2
139.66,3391,Car,Lane 1
145.3,3436,Car,Lane 1
148.34,3521,LCV,Lane 1
149.4,3522,Car,Lane 1
149.76,3678,Two-Wheeler,Lane 2
149.96,3637,Two-Wheeler,Lane 2
150.78,3688,Car,Lane 1
153.14,3576,Car,Lane 2
158.18,3724,Truck/Bus,Lane 1
