Timestamp (s),Track_ID,Lane,Speed_kmh,Time_Headway_s,Space_Headway_m,Flow_State
8.34,103,Lane 1,45.69,2.34,29.7,Stream Flow
10.48,166,Lane 2,52.33,,,Lead Vehicle
10.82,210,Lane 1,48.13,2.68,35.83,Stream Flow
18.84,356,Lane 1,30.1,5.78,48.33,Stream Flow
30.94,598,Lane 1,42.65,11.28,133.65,Free Flow
33.04,609,Lane 2,42.45,21.76,256.6,Free Flow
39.78,811,Lane 2,53.25,7.6,112.43,Free Flow
45.52,925,Lane 1,39.3,0.94,10.26,Stream Flow
50.12,1139,Lane 2,43.48,6.72,81.16,Free Flow
51.16,1188,Lane 2,72.0,2.68,53.6,Free Flow
55.52,1212,Lane 1,35.43,9.5,93.5,Free Flow
60.82,1269,Lane 2,44.12,8.08,99.02,Free Flow
64.36,1318,Lane 2,48.65,3.22,43.51,Stream Flow
95.16,1828,Lane 2,45.45,6.34,80.05,Free Flow
100.96,1949,Lane 1,35.16,4.56,44.53,Stream Flow
145.48,3439,Lane 1,44.55,10.28,127.23,Free Flow
148.56,3524,Lane 1,33.83,1.8,16.92,Stream Flow
149.52,3525,Lane 1,49.72,2.66,36.74,Stream Flow
153.4,3579,Lane 2,44.78,1.82,22.64,Stream Flow
167.42,3974,Lane 1,62.5,6.0,104.17,Free Flow
168.5,3964,Lane 2,48.91,7.02,95.38,Free Flow
171.82,4020,Lane 2,46.63,3.14,40.67,Stream Flow
173.6,4157,Lane 2,41.1,1.26,14.38,Stream Flow
180.9,4286,Lane 2,36.44,6.74,68.22,Free Flow
184.62,4516,Lane 1,38.46,3.72,39.74,Stream Flow
203.7,4809,Lane 1,35.86,8.08,80.48,Free Flow
206.66,4881,Lane 2,34.88,25.54,247.48,Free Flow
211.44,5034,Lane 2,33.83,4.62,43.42,Stream Flow
221.06,5113,Lane 1,55.21,19.12,293.25,Free Flow
230.84,5155,Lane 2,44.33,20.66,254.43,Free Flow
234.72,5347,Lane 2,52.94,4.54,66.76,Free Flow
241.88,5685,Lane 1,72.58,8.24,166.13,Free Flow
247.82,5745,Lane 2,42.65,9.84,116.59,Free Flow
251.76,5720,Lane 2,35.86,3.14,31.27,Stream Flow
265.98,5905,Lane 1,60.81,19.56,330.41,Free Flow
276.04,6035,Lane 1,59.6,10.0,165.56,Free Flow
278.36,6069,Lane 1,56.25,0.02,0.31,Stream Flow
279.26,6077,Lane 2,46.39,28.64,369.07,Free Flow
293.76,6261,Lane 2,40.18,3.18,35.49,Stream Flow
297.64,6326,Lane 2,44.78,4.34,53.98,Free Flow
308.38,6477,Lane 1,46.15,3.04,38.97,Stream Flow
309.18,6508,Lane 2,50.56,12.0,168.54,Free Flow
312.62,6561,Lane 1,67.67,1.74,32.71,Stream Flow
317.72,6594,Lane 2,30.0,6.1,50.83,Free Flow
331.9,7085,Lane 2,51.14,16.66,236.65,Free Flow
332.78,7123,Lane 2,60.0,1.4,23.33,Stream Flow
334.06,7133,Lane 2,56.96,1.12,17.72,Stream Flow
337.86,7190,Lane 1,56.96,1.92,30.38,Stream Flow
341.88,7313,Lane 1,57.32,1.56,24.84,Stream Flow
347.8,7473,Lane 1,33.21,3.64,33.58,Stream Flow
356.14,7730,Lane 1,41.1,9.38,107.08,Free Flow
359.5,7801,Lane 2,36.44,12.78,129.35,Free Flow
361.36,7941,Lane 1,41.1,5.1,58.22,Free Flow
362.64,7940,Lane 1,37.82,0.9,9.45,Stream Flow
368.96,8084,Lane 2,25.71,7.4,52.86,Free Flow
370.66,8189,Lane 1,45.69,3.0,38.07,Stream Flow
373.08,8237,Lane 1,34.75,1.18,11.39,Stream Flow
373.4,8239,Lane 2,36.59,6.52,66.26,Free Flow
378.2,8395,Lane 2,43.69,5.6,67.96,Free Flow
387.44,8508,Lane 1,42.65,15.32,181.52,Free Flow
394.66,8591,Lane 1,51.14,7.92,112.5,Free Flow
397.74,8642,Lane 2,40.18,19.18,214.06,Free Flow
402.64,8742,Lane 1,47.12,1.18,15.45,Stream Flow
404.08,8847,Lane 1,45.92,0.74,9.44,Stream Flow
405.72,8908,Lane 1,45.23,1.58,19.85,Stream Flow
407.08,8951,Lane 2,43.69,9.7,117.72,Free Flow
410.06,9064,Lane 1,44.78,2.26,28.11,Stream Flow
410.32,9035,Lane 2,50.0,3.76,52.22,Free Flow
412.88,9158,Lane 1,51.43,3.34,47.71,Stream Flow
414.94,9204,Lane 1,54.88,2.28,34.76,Stream Flow
416.9,9191,Lane 2,47.87,6.42,85.37,Free Flow
419.52,9280,Lane 1,48.13,4.12,55.08,Free Flow
424.82,9439,Lane 2,56.6,2.92,45.91,Stream Flow
427.04,9587,Lane 2,44.12,1.32,16.18,Stream Flow
429.06,9593,Lane 1,60.81,2.34,39.53,Stream Flow
433.18,9651,Lane 1,47.62,3.3,43.65,Stream Flow
436.94,9822,Lane 2,45.69,10.04,127.41,Free Flow
441.76,9876,Lane 2,44.12,4.68,57.35,Free Flow
450.38,9949,Lane 1,61.22,0.12,2.04,Stream Flow
452.84,10076,Lane 2,60.81,12.2,206.08,Free Flow
464.14,10241,Lane 2,42.86,0.26,3.1,Stream Flow
465.3,10384,Lane 2,41.86,1.06,12.33,Stream Flow
471.14,10517,Lane 1,56.6,4.22,66.35,Free Flow
479.24,10773,Lane 2,38.96,10.5,113.64,Free Flow
482.34,10800,Lane 1,45.69,10.44,132.49,Free Flow
485.08,10860,Lane 2,61.22,7.52,127.89,Free Flow
485.98,10835,Lane 1,44.12,3.5,42.89,Stream Flow
513.8,11180,Lane 1,40.0,27.4,304.44,Free Flow
516.84,11278,Lane 1,51.14,4.02,57.1,Free Flow
520.14,11318,Lane 2,58.44,34.92,566.88,Free Flow
540.5,11514,Lane 2,45.0,19.44,243.0,Free Flow
554.28,11649,Lane 1,56.6,22.06,346.86,Free Flow
555.38,11656,Lane 2,47.87,15.12,201.06,Free Flow
