Timestamp (s),Track_ID,Vehicle_Class,Lane,Speed_kmh,Headway_s
8.34,103,Car,Lane 1,45.69,2.34
10.82,210,Car,Lane 1,48.13,2.68
18.84,356,Car,Lane 1,30.1,5.78
30.94,596,Truck/Bus,Lane 1,42.65,11.28
33.04,607,Car,Lane 2,42.45,21.76
39.78,809,Car,Lane 2,53.25,7.6
45.52,923,Car,Lane 1,39.3,0.94
50.12,1137,Car,Lane 2,43.48,6.72
51.16,1186,Car,Lane 2,72,2.68
55.52,1210,Truck/Bus,Lane 1,35.43,9.5
60.82,1267,Car,Lane 2,44.12,8.08
64.36,1316,Two-Wheeler,Lane 2,48.65,3.22
95.16,1826,Car,Lane 2,45.45,6.34
100.96,1947,Truck/Bus,Lane 1,35.16,4.56
145.48,3436,Truck/Bus,Lane 1,44.55,10.28
148.56,3521,LCV,Lane 1,33.83,1.8
149.52,3522,Car,Lane 1,49.72,2.66
153.4,3576,Car,Lane 2,44.78,1.82
167.42,3971,Truck/Bus,Lane 1,62.5,6
168.5,3961,Car,Lane 2,48.91,7.02
171.82,4017,Two-Wheeler,Lane 2,46.63,3.14
173.6,4154,Two-Wheeler,Lane 2,41.1,1.26
180.9,4283,Car,Lane 2,36.44,6.74
184.62,4513,Car,Lane 1,38.46,3.72
203.7,4804,Truck/Bus,Lane 1,35.86,8.08
206.66,4876,LCV,Lane 2,34.88,25.54
211.44,5029,Car,Lane 2,33.83,4.62
221.06,5107,Truck/Bus,Lane 1,55.21,19.12
230.84,5149,Car,Lane 2,44.33,20.66
234.72,5341,Car,Lane 2,52.94,4.54
241.88,5678,Car,Lane 1,72.58,8.24
247.82,5738,Car,Lane 2,42.65,9.84
251.76,5713,Car,Lane 2,35.86,3.14
265.98,5898,Truck/Bus,Lane 1,60.81,19.56
276.04,6028,Truck/Bus,Lane 1,59.6,10
278.36,6062,Car,Lane 1,56.25,0.02
279.26,6070,Car,Lane 2,46.39,28.64
293.76,6252,Two-Wheeler,Lane 2,40.18,3.18
297.64,6317,Car,Lane 2,44.78,4.34
308.38,6468,Truck/Bus,Lane 1,46.15,3.04
309.18,6499,Car,Lane 2,50.56,12
312.62,6552,Truck/Bus,Lane 1,67.67,1.74
317.72,6585,Car,Lane 2,30,6.1
331.9,7076,Car,Lane 2,51.14,16.66
332.78,7114,Two-Wheeler,Lane 2,60,1.4
334.06,7124,Two-Wheeler,Lane 2,56.96,1.12
337.86,7181,Car,Lane 1,56.96,1.92
341.88,7304,LCV,Lane 1,57.32,1.56
347.8,7464,Truck/Bus,Lane 1,33.21,3.64
356.14,7721,Car,Lane 1,41.1,9.38
359.5,7792,Car,Lane 2,36.44,12.78
361.36,7932,Car,Lane 1,41.1,5.1
362.64,7931,Truck/Bus,Lane 1,37.82,0.9
368.96,8075,Car,Lane 2,25.71,7.4
370.66,8180,Car,Lane 1,45.69,3
373.08,8228,Car,Lane 1,34.75,1.18
373.4,8230,Car,Lane 2,36.59,6.52
378.2,8386,LCV,Lane 2,43.69,5.6
387.44,8499,Car,Lane 1,42.65,15.32
394.66,8582,Car,Lane 1,51.14,7.92
397.74,8633,Car,Lane 2,40.18,19.18
402.64,8733,Truck/Bus,Lane 1,47.12,1.18
404.08,8838,Car,Lane 1,45.92,0.74
405.72,8899,Two-Wheeler,Lane 1,45.23,1.58
407.08,8942,LCV,Lane 2,43.69,9.7
410.06,9055,LCV,Lane 1,44.78,2.26
410.32,9026,Car,Lane 2,50,3.76
412.88,9149,Car,Lane 1,51.43,3.34
414.94,9195,Two-Wheeler,Lane 1,54.88,2.28
416.9,9182,Car,Lane 2,47.87,6.42
419.52,9271,Car,Lane 1,48.13,4.12
424.82,9430,Car,Lane 2,56.6,2.92
427.04,9578,Car,Lane 2,44.12,1.32
429.06,9584,Truck/Bus,Lane 1,60.81,2.34
433.18,9642,Truck/Bus,Lane 1,47.62,3.3
436.94,9813,Two-Wheeler,Lane 2,45.69,10.04
441.76,9867,Car,Lane 2,44.12,4.68
450.38,9940,Truck/Bus,Lane 1,61.22,0.12
452.84,10067,Car,Lane 2,60.81,12.2
464.14,10231,Car,Lane 2,42.86,0.26
465.3,10374,Car,Lane 2,41.86,1.06
471.14,10507,Car,Lane 1,56.6,4.22
479.24,10763,LCV,Lane 2,38.96,10.5
482.34,10790,Two-Wheeler,Lane 1,45.69,10.44
485.08,10846,Car,Lane 2,61.22,7.52
485.98,10825,Car,Lane 1,44.12,3.5
513.8,11166,LCV,Lane 1,40,27.4
516.84,11264,Car,Lane 1,51.14,4.02
520.14,11304,Car,Lane 2,58.44,34.92
540.5,11500,Car,Lane 2,45,19.44
554.28,11635,Car,Lane 1,56.6,22.06
555.38,11642,Car,Lane 2,47.87,15.12
562.24,11697,Car,Lane 1,45.69,7.2
563.36,11700,LCV,Lane 1,45.92,1.14
580.1,11915,Car,Lane 1,47.12,1.38
581.18,11925,Car,Lane 2,50,25.96
592.28,12159,Car,Lane 1,36,11
594.1,12149,Truck/Bus,Lane 1,41.67,0.84
601.42,12360,Car,Lane 2,70.87,21.3
607.24,12402,Car,Lane 1,38.63,12.8
616.86,12493,Car,Lane 1,50.85,10.74
623.5,12604,LCV,Lane 1,43.27,6.02
626.52,12712,Car,Lane 1,58.06,4.08
631.7,12744,Car,Lane 1,40.91,3.88
634.86,12935,Car,Lane 2,69.23,9.6
635.8,12947,Car,Lane 1,94.74,0.38
644.8,13092,LCV,Lane 2,41.28,8.18
646.54,13137,Car,Lane 1,49.18,8.98
648.36,13124,Car,Lane 2,41.28,3.56
657,13334,LCV,Lane 1,38.96,8.6
671.7,13628,Car,Lane 2,43.9,1.66
673.22,13669,Car,Lane 1,52.02,3.44
687.82,13992,Car,Lane 1,53.89,14.72
700.5,14619,Car,Lane 1,47.12,7.72
707.48,14750,Car,Lane 2,42.65,0.14
737.38,15230,Car,Lane 2,69.23,1.76
740.66,15293,Truck/Bus,Lane 1,77.59,27.14
742.88,15370,Car,Lane 1,52.02,1.08
744.94,15430,Car,Lane 2,67.16,1.74
747.08,15501,Car,Lane 1,62.5,2.56
747.62,15484,Car,Lane 2,57.32,2.22
748.82,15519,Car,Lane 2,61.22,1.4
752.98,15589,Car,Lane 1,56.6,5.6
753,15625,Car,Lane 2,73.17,4.66
758.1,15660,Car,Lane 1,52.33,4.86
758.98,15665,Car,Lane 2,45,4.44
760.96,15719,Car,Lane 1,77.59,0.12
770.96,15862,Car,Lane 1,45.69,8.38
773.68,15891,Car,Lane 1,60,0.96
779.46,16045,Car,Lane 1,38.63,4.12
780.66,16061,Car,Lane 1,37.82,1.1
781.26,16008,LCV,Lane 1,45.92,0.42
789.6,16380,Car,Lane 1,42.65,4.68
797.82,16545,Truck/Bus,Lane 1,47.62,0.1
802.08,16888,Car,Lane 2,35.43,14.62
804.88,16945,Car,Lane 2,44.12,3.8
807.9,16962,Car,Lane 1,33.58,0.84
812.74,17071,LCV,Lane 2,39.47,7.38
825.48,17217,Car,Lane 2,26.55,10.52
826.46,17244,Car,Lane 2,45.69,3.82
828.86,17265,Car,Lane 2,44.12,2.26
844,17553,Car,Lane 1,30.2,10.52
848.06,17921,Car,Lane 1,58.44,0.78
849.56,17924,Two-Wheeler,Lane 2,38.14,0.52
852.92,17962,Car,Lane 2,30.93,2.26
858.22,18139,Car,Lane 1,40.36,8.78
858.8,18158,Car,Lane 2,42.45,7.46
864.68,18367,Car,Lane 1,45.92,7
867.88,18464,LCV,Lane 2,37.97,1.84
870,18583,Truck/Bus,Lane 1,53.89,0.32
875.54,18696,LCV,Lane 1,36.44,3.88
884.08,18778,Car,Lane 1,43.06,9.3
884.86,18848,Car,Lane 1,54.88,1.68
886.8,18916,Car,Lane 1,56.25,2.02
891,19033,Car,Lane 1,42.25,3.14
902.44,19312,Car,Lane 1,46.63,0.06
907.38,19359,LCV,Lane 1,35.02,3.66
921.04,19768,Car,Lane 2,38.63,12.84
928.76,19999,Car,Lane 2,30.61,6.5
932.34,20058,Two-Wheeler,Lane 2,29.9,3.44
936.02,20130,Car,Lane 2,36.59,4.78
